outage_id,outage_s,run_id,baseline_cpp_strapdown_v1,baseline_cv_heading_v1,corrected_init_strapdown_v1,ekf_zupt_nhc_v1,ekf_zupt_nhc_v2,ekf_zupt_nhc_v3,v1,v2,v3,diff_v3_v2,diff_v3_v1,cross_v2,cross_v3,cross_diff,along_v2,along_v3,along_diff,head_v2,head_v3,head_diff
pair_Vtb4__10s__0,10,pair_Vtb4,198.15988111531405,47.081262248795085,200.4367549053021,47.11847544169014,25.258505581104394,60.171632729762905,47.11847544169014,25.258505581104394,60.171632729762905,34.91312714865851,13.053157288072768,-22.05014836423699,-44.31789405772029,-22.2677456934833,-12.319986038174422,-40.70067271170489,-28.38068667353047,47.92800561523438,80.6709056152344,32.74290000000002
pair_Vtb5__10s__0,10,pair_Vtb5,169.82303607321248,35.4528925676133,109.27310999520203,163.32280655746783,150.39630813099944,153.52757657711413,163.32280655746783,150.39630813099944,153.52757657711413,3.1312684461146887,-9.795229980353696,-7.133803486444727,-16.98486971179763,-9.851066225352902,-150.22777081757894,-152.58601546997855,-2.3582446523996055,81.99159786376953,81.05799786376951,-0.9336000000000126
pair_Vtb5__120s__0,120,pair_Vtb5,33245.16025976607,649.0269708595602,36747.26813413646,2871.74156530696,2837.1237347646256,2860.196197356831,2871.74156530696,2837.1237347646256,2860.196197356831,23.072462592205284,-11.545367950129275,262.0584522956501,259.7925874500868,-2.2658648455633283,-2825.3027886167265,-2848.686397778912,-23.38360916218562,46.82170451660156,64.02750451660157,17.20580000000001
pair_Vtb5__30s__0,30,pair_Vtb5,1671.3641287007906,212.19942476679705,1379.047786995069,307.85969704367886,251.11913348285864,313.9286056067402,307.85969704367886,251.11913348285864,313.9286056067402,62.809472123881534,6.0689085630613135,11.283246089513511,-59.05204535003208,-70.33529143954559,-250.8673666120416,-308.32598057584033,-57.45861396379874,31.331993041992177,25.730293041992184,-5.601699999999994
pair_Vtb5__60s__0,60,pair_Vtb5,7679.61579868529,547.0501039506709,8150.516764863943,1303.5954336897155,1228.8610980222209,1297.4761087601632,1303.5954336897155,1228.8610980222209,1297.4761087601632,68.61501073794238,-6.119324929552249,-318.85588846530214,-405.1636644039885,-86.30777593868635,-1186.8058598007262,-1232.6367967793287,-45.830936978602494,18.734302807617183,136.9146028076172,118.18030000000002
pair_Vtb6__10s__0,10,pair_Vtb6,67.47666156054248,17.42985417701172,67.4287932284641,164.88498422074102,113.47526972673931,146.85870017142062,164.88498422074102,113.47526972673931,146.85870017142062,33.38343044468131,-18.026284049320395,-25.25614624738828,-12.791495693635936,12.464650553752344,-110.62931093143904,-146.30131723833478,-35.67200630689574,5.026100122070318,2.9373998779296926,-2.0887002441406253
pair_Vtb7__10s__0,10,pair_Vtb7,85.82182086581,38.08552714633151,97.59805793743575,193.6912884625028,133.26467003967616,139.8511739639209,193.6912884625028,133.26467003967616,139.8511739639209,6.586503924244738,-53.8401144985819,-68.90308677250717,-75.63104547916409,-6.727958706656921,-114.06976340067196,-117.6366092835954,-3.5668458829234453,63.420297863769534,63.49969786376954,0.0794000000000068
pair_Vw11__10s__0,10,pair_Vw11,28.012389819822783,34.112558613228494,64.3490555251736,88.69141837187385,60.89357075342818,73.875137247308,88.69141837187385,60.89357075342818,73.875137247308,12.981566493879825,-14.816281124565847,-10.561179532593346,-16.814630953465883,-6.253451420872537,-59.97060394510202,-71.93591101418032,-11.9653070690783,85.05449967956542,83.11989967956544,-1.934599999999989
pair_Vw11__180s__0,180,pair_Vw11,122793.88961349192,1850.8642803720784,103766.06644167576,900.1866009898287,598.7689829144881,828.9078992304289,900.1866009898287,598.7689829144881,828.9078992304289,230.13891631594083,-71.27870175939972,378.20322481002165,409.295376110907,31.092151300885348,-464.1891673003434,-720.7782658763335,-256.58909857599014,34.8355967651367,116.54999676513673,81.71440000000003
pair_Vw12__30s__0,30,pair_Vw12,1123.9786241507106,112.9459779909561,1125.0517239184514,720.909984983899,781.6209401300064,787.5703973091261,720.909984983899,781.6209401300064,787.5703973091261,5.94945717911969,66.66041232522707,-187.95173632537032,-54.58681049039383,133.36492583497648,-758.6782179825223,-785.6736231586285,-26.99540517610626,156.67940007629397,110.08589992370604,-46.593500152587936
pair_Vw12__60s__0,60,pair_Vw12,3900.656276085871,303.1558349843046,3907.327812529537,1372.6674462876183,1201.4472547090477,1307.392539883216,1372.6674462876183,1201.4472547090477,1307.392539883216,105.94528517416825,-65.27490640440237,-229.1966501760266,-174.9619042270016,54.23474594902498,-1179.380393540182,-1295.6314712828907,-116.25107774270873,9.366300976562512,42.61149902343749,33.245198046874975
