outage_id,run_id,outage_s,env,speed_cat,timing_cat,start_s,v0,mean_ax,max_ax,mean_gz,max_gz,err_v1,err_v2,diff,status
pair_Vta29__120s__0,pair_Vta29,120,Urban / Suburban,High (>15 m/s),Late (>=120s),1718.3,21.8,1.8572662500000001,14.8832,0.16348250000000003,0.9875,1980.1607411274208,2309.9864512843974,329.8257101569766,regressed
pair_Vta29__180s__0,pair_Vta29,180,Urban / Suburban,Med (5-15 m/s),Late (>=120s),1828.3,13.97,1.8411926666666667,14.6856,0.18181883333333335,1.2477,2366.130445969867,2685.8300559907484,319.6996100208812,regressed
pair_Vta3__10s__0,pair_Vta3,10,Urban / Suburban,Low (<5 m/s),Early (<120s),18.9,0.0,1.080636,3.183,0.076992,0.3152,97.97598177163812,91.53963933801784,-6.436342433620283,improved
pair_Vta30__10s__0,pair_Vta30,10,Urban / Suburban,Low (<5 m/s),Late (>=120s),1180.8,1.44,0.895719,2.9664,0.073593,0.3005,39.87506392829044,38.297221402914815,-1.5778425253756225,improved
pair_Vta30__30s__0,pair_Vta30,30,Urban / Suburban,Med (5-15 m/s),Late (>=120s),1231.0,5.62,1.5838073333333333,7.3886,0.11761200000000002,0.5017,246.3377772715828,246.4572131010453,0.1194358294625033,regressed
pair_Vta30__60s__0,pair_Vta30,60,Urban / Suburban,Med (5-15 m/s),Late (>=120s),489.0,7.02,1.3516135,10.763,0.11963449999999999,1.1117,387.5430038292619,338.206591508315,-49.33641232094692,improved
pair_Vta30__120s__0,pair_Vta30,120,Urban / Suburban,Med (5-15 m/s),Late (>=120s),1246.2,8.98,0.9634513333333333,5.8993,0.07141816666666666,0.5,282.7192896854146,157.85834720012164,-124.86094248529295,improved
pair_Vta30__180s__0,pair_Vta30,180,Urban / Suburban,Low (<5 m/s),Late (>=120s),379.6,0.88,0.9979651666666666,10.763,0.07944827777777778,1.1117,571.9288565398648,310.20290368154525,-261.72595285831954,improved
pair_Vta4__10s__0,pair_Vta4,10,Urban / Suburban,Med (5-15 m/s),Early (<120s),62.8,11.75,1.7235819999999997,4.2284,0.19563,0.9775,123.2751439570918,118.46487166240564,-4.810272294686158,improved
pair_Vta4__30s__0,pair_Vta4,30,Urban / Suburban,Med (5-15 m/s),Early (<120s),57.3,11.75,1.5977916666666667,6.2134,0.19071766666666667,0.9775,205.0352017674504,386.7515167381733,181.7163149707229,regressed
pair_Vta4__60s__0,pair_Vta4,60,Urban / Suburban,Med (5-15 m/s),Early (<120s),56.2,13.08,1.3884145,6.7264,0.18489566666666665,0.9775,638.7891812431961,649.8952581515476,11.106076908351497,regressed
pair_Vta4__120s__0,pair_Vta4,120,Urban / Suburban,Med (5-15 m/s),Early (<120s),41.6,12.49,1.552726,10.2584,0.18344266666666667,1.2066,1168.408065178603,1016.7393430458328,-151.6687221327702,improved
pair_Vta6__10s__0,pair_Vta6,10,Urban / Suburban,High (>15 m/s),Early (<120s),113.3,19.66,1.2029130000000001,3.9582,0.18030099999999996,0.6878,359.5700708040343,310.21564052915505,-49.354430274879235,improved
pair_Vta6__30s__0,pair_Vta6,30,Urban / Suburban,High (>15 m/s),Early (<120s),30.9,16.38,2.156167,9.7046,0.20407166666666668,0.9041,582.3143469580937,586.6251404521113,4.3107934940176165,regressed
pair_Vta6__60s__0,pair_Vta6,60,Urban / Suburban,Med (5-15 m/s),Early (<120s),40.7,12.37,2.380547333333333,9.8406,0.23086716666666665,0.9041,1204.4884592839744,1133.1079156864566,-71.38054359751777,improved
pair_Vta7__10s__0,pair_Vta7,10,Urban / Suburban,High (>15 m/s),Early (<120s),11.1,19.76,1.381601,4.6615,0.124922,0.7658,52.21912256842977,64.77792551047594,12.55880294204617,regressed
pair_Vta7__30s__0,pair_Vta7,30,Urban / Suburban,Med (5-15 m/s),Early (<120s),16.8,7.95,1.778978,7.3652,0.13413333333333333,0.5029,551.714258209751,401.62128463684985,-150.0929735729012,improved
pair_Vta7__60s__0,pair_Vta7,60,Urban / Suburban,High (>15 m/s),Early (<120s),10.3,19.76,2.0318321666666663,9.3472,0.16106249999999997,1.0234,1043.256638590036,1192.1253300996348,148.86869150959888,regressed
pair_Vta8__10s__0,pair_Vta8,10,Urban / Suburban,High (>15 m/s),Late (>=120s),289.6,18.16,1.6098310000000005,4.9293,0.112512,0.3874,197.71275498911749,155.79738733104787,-41.91536765806961,improved
pair_Vta8__30s__0,pair_Vta8,30,Urban / Suburban,High (>15 m/s),Late (>=120s),275.9,20.68,1.7207993333333336,9.5109,0.13720033333333334,0.9645,518.4645827275677,407.0346441555678,-111.42993857199997,improved
pair_Vta8__60s__0,pair_Vta8,60,Urban / Suburban,Med (5-15 m/s),Late (>=120s),183.9,13.03,1.329736,11.4144,0.1402118333333333,0.9605,516.6447013490452,415.3566481334365,-101.28805321560873,improved
pair_Vta8__120s__0,pair_Vta8,120,Urban / Suburban,Med (5-15 m/s),Late (>=120s),156.8,10.34,1.5888930833333335,11.9939,0.15564899999999998,1.3459,1221.8766952778187,1146.7156510221805,-75.16104425563822,improved
pair_Vta8__180s__0,pair_Vta8,180,Urban / Suburban,Low (<5 m/s),Early (<120s),43.8,0.93,0.7982400555555554,5.9025,0.09141827777777779,1.1536,1300.1291612575965,1488.8561860913237,188.72702483372723,regressed
pair_Vtb1__10s__0,pair_Vtb1,10,Urban / Suburban,High (>15 m/s),Late (>=120s),1031.0,24.25,1.130025,5.0665,0.10299299999999999,0.3711,255.91695542460704,217.69819026198903,-38.21876516261801,improved
pair_Vtb1__30s__0,pair_Vtb1,30,Urban / Suburban,Low (<5 m/s),Late (>=120s),392.4,2.76,0.9357086666666669,1.4762,0.043995000000000006,0.0579,3320.109776434471,2950.0790851033653,-370.0306913311056,improved
pair_Vtb1__60s__0,pair_Vtb1,60,Urban / Suburban,Med (5-15 m/s),Late (>=120s),1554.5,8.89,2.1998081666666667,12.0358,0.1982905,1.0679,699.4595955435975,781.5741026256537,82.1145070820562,regressed
pair_Vtb1__120s__0,pair_Vtb1,120,Urban / Suburban,High (>15 m/s),Late (>=120s),1464.5,16.36,1.4981500833333332,10.4749,0.13266016666666666,1.0679,1509.103928848506,1779.4548864891697,270.35095764066364,regressed
pair_Vtb1__180s__0,pair_Vtb1,180,Urban / Suburban,Low (<5 m/s),Late (>=120s),207.9,2.76,2.0880285555555553,4.239,0.1332038888888889,0.2142,712.819156058361,2011.833895104668,1299.014739046307,regressed
pair_Vtb11__10s__0,pair_Vtb11,10,Urban / Suburban,High (>15 m/s),Early (<120s),11.6,18.24,2.0529610000000003,5.9267,0.18266899999999997,0.5382,170.6594248085142,99.41469765052938,-71.24472715798481,improved
pair_Vtb12__10s__0,pair_Vtb12,10,Urban / Suburban,Med (5-15 m/s),Early (<120s),13.3,11.13,0.8675670000000001,3.5033,0.08560099999999998,0.2611,82.3877277289677,81.00577055780987,-1.3819571711578362,improved
